sqft,bedrooms,bathrooms,year_built,lot_size,neighborhood,garage_spaces,price
1607.0,4,4,1961.0,5566.0,Suburbs,2,475068
1461.0,4,2,1984.0,2623.0,Midtown,1,406740
2105.0,3,2,2020.0,5314.0,Midtown,1,515914
2315.0,3,2,2013.0,8332.0,Rural,1,410073
2265.0,3,3,1992.0,5570.0,Suburbs,3,536751
,3,3,1995.0,4042.0,Rural,3,420549
1645.0,5,2,1990.0,4884.0,Downtown,2,477289
1965.0,4,1,1973.0,3853.0,Suburbs,2,453154
,5,3,1960.0,5501.0,Downtown,2,590810
1560.0,2,2,2005.0,3644.0,Suburbs,3,475584
1707.0,4,2,1975.0,2672.0,Suburbs,1,447890
1246.0,5,4,2013.0,1944.0,Downtown,1,461765
1201.0,2,2,2005.0,4298.0,Midtown,1,358584
2206.0,2,2,2020.0,4814.0,Midtown,2,516571
2478.0,4,4,2011.0,6926.0,Rural,2,563940
1763.0,3,2,1962.0,3961.0,Suburbs,1,398215
2301.0,4,3,1994.0,8862.0,Midtown,0,514681
1980.0,2,2,2000.0,4253.0,Downtown,2,474946
1477.0,4,2,1965.0,3802.0,Rural,0,347431
1980.0,2,2,1984.0,7290.0,Downtown,2,534935
2569.0,2,2,1972.0,9260.0,Rural,3,511450
1782.0,2,2,2012.0,3502.0,Suburbs,1,429210
2582.0,4,2,1993.0,9054.0,Midtown,1,557662
600.0,4,2,1967.0,1587.0,Midtown,2,321029
2210.0,3,1,1980.0,5983.0,Downtown,2,554725
1843.0,3,3,1993.0,3379.0,Suburbs,2,458546
1650.0,4,2,1963.0,2807.0,Midtown,3,482177
1845.0,3,3,1984.0,6125.0,Suburbs,0,403532
806.0,4,2,1974.0,2209.0,Midtown,2,338871
1690.0,3,3,1963.0,4380.0,Suburbs,2,425024
1978.0,3,2,2004.0,6574.0,Suburbs,3,479832
2538.0,3,3,2019.0,8664.0,Suburbs,1,552076
1540.0,3,3,1971.0,2921.0,Downtown,2,423446
1395.0,4,3,1991.0,4220.0,Rural,2,389265
1549.0,3,3,2023.0,2847.0,Suburbs,1,403068
2257.0,2,2,1991.0,7625.0,Suburbs,0,436779
1964.0,4,3,1987.0,6171.0,Suburbs,3,517790
1535.0,3,1,1972.0,5973.0,Suburbs,1,358212
,3,1,1990.0,3438.0,Midtown,1,463293
1848.0,5,4,1973.0,3035.0,Midtown,1,529670
2284.0,3,3,1979.0,5037.0,Suburbs,3,519272
1448.0,2,2,1977.0,3119.0,Rural,2,311758
1636.0,5,2,1988.0,,Rural,2,391378
1603.0,3,1,2019.0,6036.0,Suburbs,1,377423
,3,1,2022.0,2268.0,Midtown,2,354942
1948.0,2,2,1965.0,4246.0,Downtown,2,464390
1930.0,4,2,1991.0,6559.0,Downtown,2,501011
1802.0,3,2,1988.0,4729.0,Midtown,3,480201
1682.0,3,2,2002.0,5789.0,Suburbs,0,392227
1092.0,4,1,2021.0,1816.0,Rural,2,348470
1589.0,4,2,1961.0,4320.0,Midtown,0,376057
1628.0,2,2,2019.0,2578.0,Downtown,2,455360
1398.0,3,3,1982.0,2315.0,Midtown,1,372534
1719.0,2,2,1978.0,6473.0,Suburbs,1,391701
2002.0,4,2,1990.0,3699.0,Suburbs,1,423282
2743.0,1,1,2010.0,7765.0,Rural,2,525178
1887.0,3,1,1964.0,4769.0,Midtown,1,368709
1928.0,4,2,1978.0,4566.0,Downtown,2,512401
1762.0,4,2,1993.0,6606.0,Suburbs,1,445003
840.0,3,3,1969.0,1305.0,Rural,0,252340
,4,2,1984.0,5642.0,Rural,2,515321
1830.0,2,2,1961.0,7152.0,Rural,1,391354
3031.0,4,3,2021.0,8791.0,Downtown,1,663053
1703.0,2,2,1970.0,6543.0,Suburbs,2,409211
,3,1,2009.0,3179.0,Suburbs,1,361107
1782.0,4,2,2020.0,4538.0,Rural,0,394112
1215.0,2,1,1990.0,2612.0,Suburbs,1,273868
2371.0,2,2,2015.0,7888.0,Downtown,3,633921
2175.0,4,4,1974.0,8598.0,Midtown,2,564503
2195.0,4,1,1968.0,4700.0,Downtown,2,527397
1345.0,3,2,1982.0,4217.0,Midtown,2,389418
2501.0,4,3,1978.0,4990.0,Rural,1,561235
1099.0,3,3,1968.0,3201.0,Rural,1,302247
2093.0,3,2,1994.0,5567.0,Suburbs,2,535971
2895.0,3,1,1980.0,11377.0,Downtown,0,613709
1304.0,2,2,1968.0,3939.0,Rural,1,319637
1516.0,5,2,1987.0,3598.0,Rural,1,394471
1849.0,3,1,2021.0,3300.0,Rural,1,400693
1548.0,3,2,2005.0,2907.0,Downtown,3,434964
1024.0,3,1,2010.0,2112.0,Rural,0,245073
1834.0,5,1,1966.0,3901.0,Rural,2,442939
1268.0,2,2,1975.0,,Rural,1,306183
2036.0,3,1,1975.0,5910.0,Rural,3,409214
1340.0,3,2,2019.0,3763.0,Rural,0,322542
2574.0,3,3,1992.0,4599.0,Rural,1,558998
1408.0,1,1,1963.0,5139.0,Downtown,2,428561
1638.0,4,2,1963.0,5416.0,Suburbs,2,423279
2206.0,5,2,1998.0,3682.0,Downtown,1,580673
1184.0,3,1,1999.0,3871.0,Suburbs,1,309939
1913.0,4,3,1976.0,5468.0,Suburbs,1,408783
2453.0,5,3,1996.0,4180.0,Downtown,1,575526
996.0,4,1,1998.0,2635.0,Suburbs,1,353581
1892.0,2,2,2019.0,5130.0,Downtown,1,478970
1929.0,3,1,2011.0,3692.0,Rural,1,388138
2190.0,3,2,1988.0,8462.0,Midtown,1,500114
1181.0,3,3,2011.0,4281.0,Downtown,2,510749
1139.0,4,3,,3613.0,Midtown,3,496023
2060.0,5,3,2019.0,5470.0,Suburbs,2,605613
1948.0,5,3,1997.0,4927.0,Suburbs,0,457123
1925.0,3,2,1998.0,6020.0,Downtown,0,483968
1973.0,2,2,2009.0,5649.0,Suburbs,3,439005
1459.0,5,1,2022.0,2415.0,Rural,1,412463
1916.0,4,3,1996.0,5328.0,Rural,0,389526
1946.0,2,2,2011.0,6842.0,Downtown,2,529733
1442.0,5,3,2022.0,3818.0,Downtown,2,485210
,4,2,2021.0,4452.0,Suburbs,2,562933
2036.0,3,3,2023.0,7056.0,Suburbs,1,465982
1204.0,3,2,2020.0,2412.0,Downtown,0,363303
2128.0,3,3,1994.0,4567.0,Suburbs,3,509021
1312.0,2,1,1966.0,2508.0,Rural,1,261531
2193.0,3,1,1986.0,5099.0,Midtown,2,521655
2379.0,4,2,1987.0,8069.0,Suburbs,2,506179
1389.0,1,1,1981.0,3887.0,Midtown,2,368231
2281.0,3,3,1973.0,4589.0,Suburbs,1,519703
2006.0,3,2,1966.0,7411.0,Suburbs,1,425379
2211.0,3,3,1996.0,8178.0,Downtown,2,567672
2748.0,5,2,2020.0,10102.0,Rural,3,623354
1677.0,3,2,1981.0,3516.0,Midtown,3,504711
1423.0,3,3,1964.0,3739.0,Rural,0,332278
1355.0,4,3,2021.0,5369.0,Suburbs,1,399008
1392.0,3,2,2014.0,4774.0,Rural,3,422426
1761.0,2,2,1961.0,2761.0,Downtown,2,422556
1970.0,3,3,2021.0,3276.0,Midtown,3,563720
1938.0,2,2,1986.0,5154.0,Suburbs,1,428588
2213.0,2,2,1980.0,8349.0,Suburbs,2,478070
1806.0,3,3,2013.0,5141.0,Suburbs,2,448767
2526.0,3,3,1997.0,6932.0,Rural,2,514679
1667.0,5,2,1974.0,2940.0,Downtown,1,487784
3160.0,3,3,1980.0,9928.0,Rural,0,610709
2112.0,3,1,1969.0,7508.0,Downtown,2,501360
1371.0,3,1,1982.0,3360.0,Rural,1,326071
1264.0,1,1,2017.0,4346.0,Rural,1,229299
2041.0,4,2,2015.0,7982.0,Rural,3,499791
1688.0,2,2,1998.0,3391.0,Suburbs,1,382583
2157.0,5,3,,6057.0,Suburbs,2,498834
2036.0,2,2,1960.0,4515.0,Downtown,1,443799
1763.0,3,2,1972.0,6139.0,Rural,2,393221
1376.0,2,2,1980.0,4050.0,Suburbs,3,399135
1042.0,5,2,1985.0,3216.0,Suburbs,0,313000
1576.0,3,3,2009.0,5507.0,Suburbs,0,329008
2228.0,3,1,2004.0,5547.0,Downtown,1,453473
1907.0,2,2,1980.0,7223.0,Rural,0,356749
1177.0,4,2,2012.0,3333.0,Downtown,2,457635
,2,2,1977.0,3573.0,Rural,3,345259
1992.0,4,3,1996.0,,Suburbs,1,469313
1358.0,2,2,2004.0,4730.0,Downtown,1,397822
1876.0,2,2,1991.0,4299.0,Suburbs,1,448765
1829.0,1,1,1995.0,6662.0,Downtown,2,453739
1228.0,3,2,1976.0,4623.0,Suburbs,0,324964
1978.0,3,2,1994.0,4336.0,Rural,2,445277
2080.0,2,2,2008.0,8234.0,Downtown,2,480853
2341.0,4,4,2019.0,4335.0,Rural,2,575141
2326.0,3,2,1970.0,4663.0,Downtown,1,533896
1111.0,3,3,2022.0,2178.0,Downtown,2,455458
1331.0,3,3,1980.0,4971.0,Rural,0,447362
2057.0,3,3,2011.0,6450.0,Suburbs,1,422066
2056.0,3,1,2023.0,3865.0,Downtown,3,599285
2057.0,2,2,2014.0,5349.0,Suburbs,2,461961
3726.0,2,2,2012.0,11320.0,Suburbs,0,658339
2085.0,4,2,1985.0,3562.0,Rural,1,434144
2367.0,5,2,2021.0,8772.0,Suburbs,1,535672
2277.0,3,3,1963.0,7990.0,Rural,1,457595
2125.0,3,2,1993.0,5871.0,Midtown,1,500740
1642.0,3,3,2011.0,6433.0,Suburbs,0,364189
2179.0,3,2,2007.0,5544.0,Midtown,1,525217
1413.0,1,1,,5595.0,Suburbs,2,349549
1681.0,2,2,1977.0,5328.0,Midtown,2,402957
1557.0,4,2,1999.0,4805.0,Downtown,2,476864
1840.0,4,2,1994.0,3523.0,Rural,0,423129
2957.0,1,1,2000.0,10955.0,Suburbs,3,573554
866.0,2,2,1988.0,2224.0,Suburbs,2,309793
2143.0,2,2,2011.0,4083.0,Rural,2,431146
993.0,4,2,1988.0,1520.0,Rural,2,343497
1564.0,1,1,1997.0,4534.0,Downtown,3,469415
2344.0,2,2,2001.0,6606.0,Downtown,2,620268
1832.0,4,3,1980.0,6042.0,Rural,1,429783
1261.0,2,2,2001.0,4698.0,Rural,2,365369
1442.0,4,3,1972.0,2449.0,Midtown,2,444227
2139.0,2,1,2008.0,7120.0,Rural,2,485156
1434.0,2,2,,2822.0,Midtown,2,384625
1908.0,2,2,2023.0,6955.0,Rural,0,417585
1822.0,4,2,1976.0,6463.0,Suburbs,1,428114
1474.0,4,1,2015.0,4203.0,Downtown,3,488469
2871.0,4,2,1968.0,9404.0,Rural,2,578292
2116.0,3,2,2000.0,4836.0,Rural,2,470667
787.0,4,2,,2107.0,Downtown,1,336488
1893.0,2,2,1961.0,6727.0,Suburbs,1,412736
1469.0,3,2,2019.0,3890.0,Midtown,3,512573
2226.0,4,2,2007.0,5330.0,Suburbs,2,546833
1403.0,1,1,1988.0,3837.0,Suburbs,2,362619
1742.0,2,2,1992.0,6220.0,Suburbs,1,387473
2052.0,2,2,1969.0,4797.0,Downtown,2,478047
2232.0,1,1,2009.0,4317.0,Suburbs,1,452584
1199.0,2,1,2017.0,3932.0,Suburbs,2,368321
1632.0,3,3,2023.0,5817.0,Downtown,1,540605
1562.0,3,3,2019.0,2735.0,Rural,1,372495
1473.0,4,2,1999.0,3092.0,Suburbs,2,404833
2682.0,4,3,1980.0,4974.0,Rural,3,532525
2002.0,3,3,1987.0,4744.0,Midtown,0,450685
1169.0,3,2,1970.0,3069.0,Downtown,2,435522
2258.0,3,3,2014.0,7614.0,Rural,1,482035
2861.0,3,2,1993.0,8948.0,Suburbs,1,583774
2316.0,3,1,1967.0,,Midtown,0,456049
1040.0,3,2,2018.0,2476.0,Downtown,1,395901
1557.0,3,1,1981.0,5610.0,Rural,2,335959
2433.0,3,2,1967.0,6516.0,Rural,0,445596
1446.0,3,3,2008.0,5708.0,Suburbs,1,316325
2021.0,3,1,1974.0,6235.0,Downtown,3,525088
2187.0,5,1,1976.0,,Rural,0,366375
1336.0,4,2,2019.0,4262.0,Rural,2,427309
1770.0,2,2,1982.0,,Suburbs,1,412187
600.0,4,2,1983.0,1929.0,Rural,2,287145
1287.0,3,2,2004.0,2154.0,Suburbs,1,392840
1673.0,4,1,1978.0,3240.0,Rural,1,332492
1176.0,4,1,1964.0,4279.0,Downtown,1,431935
2616.0,3,3,1991.0,5409.0,Midtown,0,569430
1084.0,1,1,2003.0,3894.0,Suburbs,1,273953
1579.0,3,1,1960.0,3470.0,Suburbs,2,405898
1865.0,3,3,1982.0,5794.0,Downtown,3,520581
2520.0,3,3,1996.0,8153.0,Downtown,2,601429
1082.0,3,3,1967.0,3009.0,Suburbs,2,335127
2381.0,2,2,,5388.0,Suburbs,0,422790
1805.0,4,2,1967.0,3667.0,Rural,1,361738
1309.0,5,2,2016.0,2072.0,Downtown,1,482132
2031.0,3,3,1982.0,4589.0,Suburbs,1,449899
1899.0,2,1,2002.0,5949.0,Suburbs,2,439200
1499.0,3,1,1960.0,5764.0,Downtown,2,416589
1834.0,1,1,2004.0,6745.0,Downtown,1,391186
1607.0,5,3,2010.0,5488.0,Suburbs,1,463381
1856.0,2,2,1983.0,6442.0,Suburbs,2,379062
2131.0,3,3,1994.0,6739.0,Suburbs,2,509355
2593.0,3,3,1983.0,5576.0,Suburbs,1,489490
1181.0,3,1,1976.0,4449.0,Suburbs,3,421583
2866.0,4,3,1964.0,9104.0,Downtown,3,723780
823.0,4,2,1979.0,2387.0,Suburbs,1,298367
,2,2,1980.0,3064.0,Midtown,1,445111
2094.0,1,1,1999.0,5481.0,Suburbs,2,407795
1940.0,2,2,2017.0,5142.0,Rural,3,478314
1488.0,5,3,1990.0,5448.0,Suburbs,3,486794
1695.0,4,4,2005.0,4858.0,Rural,0,428110
1553.0,3,3,1995.0,3806.0,Rural,1,421060
1505.0,3,2,1970.0,5932.0,Suburbs,2,422234
2224.0,4,3,2011.0,3951.0,Midtown,2,570796
1978.0,2,2,1974.0,5056.0,Downtown,1,424993
1453.0,5,2,1978.0,2332.0,Downtown,3,466218
2249.0,3,1,1966.0,7533.0,Rural,2,451863
1953.0,3,3,2010.0,7412.0,Rural,2,484221
2206.0,3,3,1987.0,4853.0,Downtown,3,558578
2114.0,1,1,2010.0,,Suburbs,2,524565
1385.0,2,2,2002.0,3089.0,Downtown,1,453136
1519.0,4,3,2017.0,5737.0,Suburbs,2,477528
2173.0,2,2,1964.0,7355.0,Rural,1,426696
2105.0,3,3,1964.0,7393.0,Suburbs,2,490198
1789.0,2,1,1989.0,2764.0,Suburbs,1,339442
1858.0,3,3,2013.0,7259.0,Suburbs,2,493079
2438.0,3,3,1991.0,,Downtown,1,596222
1504.0,3,1,1967.0,3401.0,Suburbs,0,278732
2073.0,4,4,2023.0,7407.0,Rural,1,522320
1698.0,3,2,1969.0,3742.0,Midtown,0,387312
1691.0,3,3,1997.0,6226.0,Rural,2,380315
2349.0,3,3,2006.0,4184.0,Downtown,2,564988
2212.0,4,2,1991.0,7209.0,Midtown,2,534576
2206.0,5,3,2007.0,6290.0,Rural,1,566300
2452.0,4,3,1987.0,4269.0,Rural,0,495781
1810.0,2,2,1976.0,3809.0,Suburbs,0,324180
2140.0,1,1,1990.0,3276.0,Suburbs,1,412761
1644.0,3,3,1967.0,4392.0,Suburbs,3,406320
1962.0,3,3,2023.0,4420.0,Downtown,1,561520
1734.0,2,2,1999.0,5194.0,Downtown,1,444416
1848.0,3,3,1984.0,4145.0,Downtown,0,466675
2097.0,3,2,1968.0,4717.0,Suburbs,1,478998
1390.0,3,3,1961.0,4667.0,Rural,2,337020
2846.0,4,1,1974.0,4611.0,Suburbs,2,509661
1296.0,2,2,2009.0,4869.0,Downtown,1,391857
1192.0,2,1,1962.0,4327.0,Midtown,0,326826
2379.0,4,2,2008.0,7540.0,Midtown,1,506599
2195.0,3,2,1995.0,6547.0,Rural,1,368670
2112.0,4,2,2021.0,7879.0,Midtown,1,514800
2114.0,3,3,1963.0,4150.0,Suburbs,3,522482
1793.0,2,2,1973.0,3043.0,Midtown,2,472882
1351.0,4,2,2000.0,2835.0,Downtown,2,442400
1837.0,4,2,2000.0,6404.0,Suburbs,1,435117
1461.0,4,2,1984.0,2318.0,Downtown,1,468527
2287.0,3,2,2017.0,6762.0,Downtown,2,525657
1726.0,3,1,2014.0,6884.0,Downtown,2,481884
1387.0,3,3,2021.0,5047.0,Rural,2,412887
1639.0,2,2,2022.0,4595.0,Rural,1,389131
2006.0,5,3,2009.0,3328.0,Suburbs,2,501565
1518.0,2,2,1969.0,5432.0,Downtown,1,419853
1388.0,5,2,1980.0,4160.0,Rural,3,342710
1921.0,3,3,1995.0,3433.0,Rural,2,430437
1922.0,2,2,1971.0,3333.0,Suburbs,2,436410
1546.0,3,2,1986.0,,Rural,0,313221
1564.0,4,1,1999.0,4962.0,Suburbs,2,413759
1916.0,4,2,1961.0,6846.0,Suburbs,0,428056
1075.0,4,2,2013.0,3974.0,Midtown,1,370093
1096.0,4,2,1972.0,3210.0,Suburbs,0,308683
1440.0,4,2,,4022.0,Suburbs,2,390028
1693.0,4,2,1991.0,4361.0,Midtown,1,439266
1955.0,2,2,1990.0,4481.0,Rural,1,415311
2537.0,3,3,1975.0,6561.0,Downtown,3,639454
2228.0,2,2,1991.0,7652.0,Downtown,1,508524
1720.0,5,3,1991.0,5168.0,Downtown,2,549466
1790.0,5,4,2019.0,6679.0,Rural,1,509133
1298.0,1,1,1993.0,3385.0,Suburbs,0,212686
1790.0,4,2,1970.0,5401.0,Downtown,2,541577
1655.0,5,1,1969.0,5094.0,Midtown,0,393482
1961.0,2,2,1974.0,5842.0,Suburbs,1,429294
1386.0,3,3,1976.0,4513.0,Downtown,2,497802
2059.0,5,2,,4310.0,Suburbs,2,461979
2566.0,1,1,1977.0,7135.0,Rural,2,445811
1745.0,4,1,2014.0,3072.0,Downtown,1,458103
2000.0,3,3,1968.0,4922.0,Suburbs,0,400097
2145.0,5,2,1984.0,5832.0,Rural,2,545608
1599.0,5,1,1999.0,5005.0,Suburbs,2,405701
1912.0,5,2,2018.0,7411.0,Suburbs,2,493828
1806.0,3,2,1973.0,5420.0,Suburbs,2,441451
1848.0,4,2,2019.0,6207.0,Downtown,2,506230
1413.0,4,2,2017.0,3907.0,Downtown,1,440724
1812.0,3,3,1984.0,5590.0,Suburbs,1,446913
,4,2,2009.0,3435.0,Downtown,2,537449
2525.0,1,1,1981.0,5393.0,Downtown,1,507663
2279.0,3,3,2011.0,5480.0,Rural,1,470500
2876.0,2,2,1989.0,7711.0,Midtown,3,577740
1416.0,2,2,1979.0,2285.0,Rural,3,375492
2236.0,2,2,1980.0,4136.0,Midtown,1,526647
,4,1,2003.0,4145.0,Downtown,0,459697
2894.0,3,2,1991.0,11370.0,Midtown,1,616387
1395.0,4,3,2010.0,3248.0,Downtown,2,509421
1380.0,2,2,2005.0,3733.0,Midtown,3,393685
1500.0,3,2,2008.0,2985.0,Midtown,1,460000
738.0,3,3,2015.0,2233.0,Rural,0,268294
1537.0,4,1,1980.0,3384.0,Midtown,3,495315
1420.0,3,2,1994.0,2864.0,Suburbs,1,339729
1875.0,3,2,2017.0,5233.0,Suburbs,2,519206
1970.0,4,4,1991.0,2982.0,Suburbs,3,555064
2738.0,3,2,1989.0,4159.0,Suburbs,0,515446
2275.0,2,2,2014.0,4658.0,Downtown,2,560310
1511.0,1,1,1998.0,2405.0,Rural,0,269889
1350.0,4,1,2008.0,2389.0,Midtown,1,418960
2045.0,1,1,1971.0,4799.0,Downtown,2,474105
1139.0,4,4,2000.0,3993.0,Rural,1,312632
2715.0,3,3,2006.0,7955.0,Midtown,3,615059
2389.0,5,3,1977.0,6645.0,Midtown,2,587829
1565.0,4,3,1980.0,3495.0,Midtown,1,449574
943.0,5,2,1972.0,3611.0,Suburbs,1,325517
2476.0,3,2,2021.0,6171.0,Midtown,1,585044
1742.0,4,3,1980.0,2992.0,Rural,1,350466
2418.0,3,2,2021.0,7357.0,Downtown,0,556752
1002.0,3,3,1967.0,1788.0,Suburbs,1,258140
1500.0,3,3,2005.0,3544.0,Rural,1,403011
1802.0,4,2,1999.0,4988.0,Downtown,2,517846
1823.0,5,2,2005.0,6718.0,Rural,2,482438
1574.0,4,3,1966.0,4303.0,Rural,2,387478
2111.0,3,2,1982.0,6872.0,Downtown,0,532063
1266.0,3,3,2003.0,5041.0,Suburbs,1,409876
1728.0,4,2,1991.0,3160.0,Rural,2,436166
1860.0,2,2,1970.0,4067.0,Suburbs,1,389649
2057.0,2,1,2023.0,5114.0,Downtown,0,481305
2155.0,3,3,1981.0,5505.0,Downtown,2,540418
1237.0,3,2,1981.0,3126.0,Suburbs,2,385236
1032.0,3,2,2002.0,3889.0,Midtown,2,428769
2438.0,2,2,1984.0,8009.0,Downtown,0,556723
1966.0,1,1,1981.0,5936.0,Rural,2,369211
1425.0,1,1,1987.0,3239.0,Downtown,2,406537
2575.0,5,2,1988.0,9165.0,Suburbs,2,545030
1857.0,3,1,1972.0,7219.0,Rural,2,427106
2389.0,3,1,1977.0,8488.0,Rural,2,496138
1833.0,4,3,1961.0,2756.0,Downtown,2,458145
2830.0,2,2,1988.0,8747.0,Suburbs,0,482481
2677.0,5,2,1980.0,4357.0,Downtown,2,619530
1675.0,4,2,1974.0,3591.0,Suburbs,2,416929
2285.0,2,2,2011.0,3767.0,Rural,2,432250
2122.0,3,2,1986.0,6386.0,Downtown,1,531239
2484.0,4,2,2009.0,7989.0,Suburbs,1,545069
1317.0,5,4,1990.0,2352.0,Suburbs,3,458971
2143.0,3,1,1974.0,5270.0,Midtown,2,462836
2329.0,3,3,2010.0,6149.0,Midtown,3,626686
920.0,2,2,1982.0,2228.0,Downtown,2,412202
1208.0,5,2,1983.0,2177.0,Rural,2,347838
780.0,2,2,2003.0,1986.0,Suburbs,2,276664
1665.0,5,3,1972.0,5624.0,Suburbs,3,508656
2158.0,3,3,1981.0,3620.0,Rural,2,461819
2551.0,3,1,2002.0,,Midtown,2,539623
1837.0,3,1,1996.0,4384.0,Midtown,1,452549
2614.0,2,2,2020.0,10075.0,Suburbs,1,481774
1109.0,2,2,1992.0,3517.0,Suburbs,2,376214
948.0,2,2,,3030.0,Rural,1,283590
1772.0,2,1,1962.0,4261.0,Suburbs,1,347600
1992.0,4,1,2022.0,5944.0,Suburbs,1,452082
1783.0,3,3,2013.0,2719.0,Suburbs,1,432927
766.0,2,2,1978.0,2367.0,Rural,1,185818
1755.0,5,2,1982.0,6639.0,Downtown,1,549643
1147.0,4,2,1988.0,3477.0,Downtown,3,455264
2134.0,5,2,1989.0,7862.0,Midtown,2,568180
,5,1,1998.0,6563.0,Downtown,1,548321
1330.0,2,2,2003.0,2395.0,Suburbs,0,282440
1543.0,3,1,2006.0,5795.0,Downtown,2,476339
1270.0,4,3,1984.0,2115.0,Downtown,1,421945
1768.0,4,2,2023.0,5012.0,Downtown,2,554123
2277.0,2,2,1996.0,4224.0,Downtown,2,478543
1307.0,4,3,2006.0,1998.0,Midtown,2,436857
2052.0,2,2,1967.0,5243.0,Suburbs,1,402870
1534.0,2,2,2001.0,3432.0,Midtown,2,434707
1403.0,3,2,2017.0,3809.0,Suburbs,1,390006
1746.0,3,2,1975.0,5138.0,Suburbs,3,431481
1282.0,3,3,1967.0,2063.0,Suburbs,2,351289
1523.0,2,2,1960.0,2752.0,Suburbs,1,338200
1201.0,4,3,2003.0,3478.0,Rural,1,331110
2782.0,3,2,1964.0,6559.0,Suburbs,1,553894
1817.0,2,2,1962.0,6037.0,Suburbs,2,408148
1450.0,4,2,1960.0,4539.0,Midtown,1,314485
,5,1,1963.0,6888.0,Midtown,2,478415
1743.0,4,2,1999.0,5632.0,Midtown,1,430663
1689.0,4,4,1994.0,4348.0,Suburbs,2,432481
2107.0,4,2,1991.0,6705.0,Rural,2,444742
,3,3,2023.0,4766.0,Suburbs,2,524972
1534.0,2,2,2001.0,3475.0,Suburbs,2,431814
1512.0,3,2,1993.0,5250.0,Downtown,1,453585
1662.0,3,1,2002.0,4347.0,Suburbs,0,338979
649.0,3,2,1984.0,2268.0,Downtown,2,359897
1042.0,4,3,1969.0,3705.0,Suburbs,1,329292
2483.0,3,2,1980.0,9047.0,Midtown,1,522356
2622.0,2,2,2023.0,9941.0,Downtown,0,541214
1675.0,2,2,2005.0,4317.0,Downtown,1,397530
2088.0,4,4,1998.0,4796.0,Downtown,0,531842
1955.0,2,2,1986.0,5777.0,Midtown,3,506226
3339.0,4,2,1986.0,8106.0,Suburbs,1,626311
,3,2,1961.0,7083.0,Suburbs,2,491515
1736.0,3,3,2000.0,5666.0,Rural,0,363277
1322.0,3,3,2007.0,4258.0,Rural,2,406677
996.0,4,2,1972.0,2426.0,Suburbs,1,273136
